SightingID,EntityID,TimeObserved,City,State,CredibilityScore
137,5,6/3/2023 20:41,Buffalo,NY,3
138,16,8/18/2020 22:11,Buffalo,NY,1
139,6,4/8/2018 21:10,Albuquerque,NM,8
140,15,4/21/2023 4:32,Albuquerque,NM,2
141,14,12/12/2022 3:48,Detroit,MI,8
142,14,6/11/2019 20:47,Cleveland,OH,6
143,15,5/2/2022 1:44,Dallas,TX,6
144,1,4/14/2025 2:40,Dallas,TX,10
145,17,6/8/2020 22:49,Dallas,TX,2
146,9,8/8/2019 3:54,Columbus,OH,6
147,3,4/20/2020 17:25,Evansville,IN,1
148,4,8/5/2019 2:44,Evansville,IN,2
149,3,11/19/2022 20:07,Evansville,IN,8
150,10,1/15/2024 7:28,Detroit,MI,8
151,14,9/10/2019 0:30,Detroit,MI,8
152,12,3/22/2018 2:27,El Paso,TX,1
153,8,10/10/2023 23:10,El Paso,TX,8
154,4,11/17/2019 4:20,El Paso,TX,4
155,11,3/11/2018 20:45,El Paso,TX,1
156,12,2/22/2020 3:30,New York City,NY,8
157,5,2/28/2021 2:13,New York City,NY,10
158,15,9/10/2018 20:43,New York City,NY,3
159,13,11/23/2022 3:03,Nashville,TN,4
160,4,7/26/2022 1:21,Atlanta,GA,7
161,17,6/6/2020 17:42,Atlanta,GA,9
162,14,10/13/2023 0:17,San Jose,CA,2
163,15,9/29/2024 0:08,San Jose,CA,6
164,13,12/4/2024 2:45,Metairie,LA,5
165,16,9/19/2018 23:26,Metairie,LA,9
166,9,5/16/2019 21:02,Metairie,LA,4
167,16,2/16/2021 0:28,Metairie,LA,2
168,6,3/9/2020 8:34,Jacksonville,FL,8
169,1,12/27/2019 4:13,Jacksonville,FL,9
170,3,4/19/2024 1:37,Arlington,VA,3
171,9,4/27/2022 4:05,Arlington,VA,7
172,10,3/17/2020 20:29,Arlington,VA,9
173,8,4/24/2019 2:13,Los Angeles,CA,9
174,8,2/4/2021 23:14,Los Angeles,CA,6
175,1,1/2/2019 4:24,Los Angeles,CA,2
176,6,3/27/2025 0:30,Los Angeles,CA,8
177,17,6/22/2025 20:54,Monticello,MN,6
178,3,2/25/2025 22:55,Monticello,MN,1
179,13,7/13/2023 5:45,Monticello,MN,10
180,2,10/22/2025 0:56,Monticello,MN,4
181,8,1/18/2023 21:38,Atlanta,GA,4
182,2,11/25/2019 19:12,Atlanta,GA,2
183,12,1/13/2023 21:36,Atlanta,GA,2
184,16,5/28/2022 3:09,Atlanta,GA,10
185,10,8/24/2024 2:09,Pittsburgh,PA,6
186,6,3/16/2022 22:01,Pittsburgh,PA,3
187,8,5/20/2022 23:53,Pittsburgh,PA,9
188,10,8/28/2019 1:11,Pittsburgh,PA,4
189,17,1/9/2021 21:10,Pittsburgh,PA,3
190,5,7/28/2024 1:54,Pittsburgh,PA,6
191,7,6/12/2020 9:16,Atlanta,GA,5
192,1,8/20/2025 0:11,Atlanta,GA,7
193,3,10/11/2019 2:13,Denver,CO,4
194,8,12/11/2023 23:10,Denver,CO,5
195,12,5/29/2021 0:49,New York City,NY,10
196,14,3/19/2022 21:59,New York City,NY,5
197,9,3/26/2018 7:58,New York City,NY,9
198,13,4/2/2023 23:51,Katy,TX,5
199,15,12/15/2021 1:25,Decatur,GA,3
200,11,10/16/2021 20:14,Decatur,GA,8
201,16,7/10/2020 4:54,Decatur,GA,8
202,3,5/24/2020 1:22,Decatur,GA,6
203,8,12/23/2022 20:12,Jacksonville,FL,5
204,5,10/27/2024 12:04,Jacksonville,FL,3
205,3,4/12/2018 23:52,Asheville,NC,4
206,3,7/1/2019 23:16,Asheville,NC,3
207,9,8/22/2022 19:30,Asheville,NC,2
208,11,12/23/2025 3:46,Asheville,NC,5
209,8,3/30/2019 21:28,Asheville,NC,8
210,10,10/25/2019 0:26,Asheville,NC,6
211,16,12/17/2024 5:14,Asheville,NC,5
212,10,5/6/2019 4:14,Kansas City,MO,10
213,5,4/10/2021 4:19,Kansas City,MO,1
214,14,10/16/2024 23:34,Kansas City,MO,1
215,16,4/12/2019 22:37,Garden Grove,CA,10
216,1,4/21/2021 6:50,Garden Grove,CA,3
217,11,8/5/2021 0:02,Garden Grove,CA,7
218,3,10/29/2019 20:12,Birmingham,AL,9
219,15,6/21/2023 2:51,Birmingham,AL,7
220,6,10/18/2025 22:25,Birmingham,AL,2
221,16,6/14/2023 22:21,Birmingham,AL,6
222,14,2/14/2019 2:47,Birmingham,AL,5
223,14,8/26/2023 20:36,Norfolk,VA,3
224,7,2/1/2018 4:21,Miami,FL,1
225,11,3/11/2022 15:59,Toledo,OH,2
226,13,5/4/2022 11:23,Toledo,OH,7
227,5,4/6/2025 4:12,Toledo,OH,10
228,10,2/20/2019 17:11,Santa Monica,CA,5
229,9,10/30/2025 20:58,Santa Monica,CA,2
230,10,1/30/2025 22:07,Santa Monica,CA,8
231,4,10/24/2019 22:19,Oklahoma City,OK,3
232,4,2/15/2024 1:21,Lexington,KY,3
233,6,4/24/2025 3:59,Lexington,KY,8
234,13,3/30/2019 12:47,Lexington,KY,5
235,10,8/25/2019 20:17,Lexington,KY,10
236,15,6/30/2023 2:43,Lexington,KY,4
237,1,7/22/2021 8:37,Lexington,KY,3
238,7,11/2/2021 0:24,Schenectady,NY,6
239,17,8/11/2024 13:54,Schenectady,NY,3
240,2,2/7/2023 21:39,El Paso,TX,1
241,15,8/9/2024 0:09,El Paso,TX,7
242,3,3/3/2019 13:58,El Paso,TX,5
243,2,7/11/2018 16:26,Lakeland,FL,5
244,1,8/3/2020 22:35,Galveston,TX,2
245,13,4/1/2020 2:35,Galveston,TX,9
246,4,2/22/2018 23:03,Louisville,KY,9
247,15,3/6/2020 20:46,Louisville,KY,5
248,4,6/17/2021 10:18,Louisville,KY,7
249,9,10/16/2019 2:09,Seattle,WA,4
250,8,10/17/2024 20:48,Seattle,WA,6
251,3,3/5/2025 4:36,Cincinnati,OH,10
252,5,11/4/2024 3:27,Cincinnati,OH,8
253,17,1/24/2021 15:19,Orlando,FL,3
254,11,12/24/2021 15:36,Orlando,FL,5
255,2,8/23/2018 23:25,Orlando,FL,10
256,15,6/21/2023 4:36,Orlando,FL,5
257,17,11/4/2019 21:43,Orlando,FL,5
258,8,12/21/2018 4:07,Washington,DC,7
259,13,9/16/2021 1:28,Washington,DC,8
260,4,12/5/2021 23:06,Washington,DC,1
261,14,12/10/2021 22:52,Washington,DC,2
262,4,7/20/2021 2:55,Oxnard,CA,6
263,5,12/31/2018 0:12,Oxnard,CA,7
264,2,12/3/2020 2:15,Oxnard,CA,1
265,14,4/22/2023 0:08,Oxnard,CA,6
266,13,5/2/2025 18:47,Oxnard,CA,3
267,17,2/10/2022 8:03,Billings,MT,7
268,3,2/23/2020 20:59,Billings,MT,2
269,13,3/21/2018 0:54,Billings,MT,2
270,9,8/19/2020 1:42,Austin,TX,3
271,11,5/2/2023 18:15,Austin,TX,7
272,7,12/21/2023 21:05,Austin,TX,6
273,15,3/12/2023 2:58,Pittsburgh,PA,3
274,5,12/9/2024 2:54,Pittsburgh,PA,10
275,8,6/24/2025 4:19,Pittsburgh,PA,9
276,4,9/6/2024 11:58,Pittsburgh,PA,1
277,11,8/31/2018 5:43,Pittsburgh,PA,3
278,2,1/16/2018 1:50,San Diego,CA,3
279,12,8/23/2020 21:33,San Diego,CA,5
280,14,10/20/2021 0:53,San Diego,CA,6
281,12,11/20/2018 21:33,Texarkana,TX,5
282,1,9/24/2021 21:16,Texarkana,TX,3
283,13,3/18/2019 3:28,Texarkana,TX,5
284,16,2/14/2022 23:24,New York City,NY,7
285,11,1/29/2025 22:09,New York City,NY,3
286,5,4/7/2021 0:18,Philadelphia,PA,8
287,11,5/17/2025 0:20,Philadelphia,PA,1
288,12,1/10/2023 0:48,Philadelphia,PA,10
289,16,6/21/2021 18:56,Chicago,IL,7
290,3,3/24/2024 6:04,Champaign,IL,9
291,10,4/17/2022 23:13,Laurel,MD,7
292,10,2/8/2022 4:02,Laurel,MD,10
293,15,5/13/2019 1:07,Chicago,IL,2
294,11,8/15/2025 4:38,Chicago,IL,7
295,15,7/31/2018 15:09,Washington,DC,10
296,7,9/12/2023 21:42,Washington,DC,9
297,1,3/28/2023 23:46,Washington,DC,2
298,1,1/18/2025 22:37,Houston,TX,6
299,16,7/23/2022 20:17,Houston,TX,6
300,13,7/12/2022 2:52,Houston,TX,5
